primID   auxID  Station name            Lat.(N)    Long.(E)     Xgrid    Ygrid      Elev  NXpos  NYpos   Last moved Date
123456  123456  1234567890123456789  1234567890  1234567890  12345678  12345678  1234567  12345  12345  1234567890123456
------  ------  -------------------  ----------  ----------  --------  --------  -------  -----  -----  ----------------
047156  047156  Gwangju                35.17294   126.89158     58.90     74.64     72.4   59.0   75.0  1939.05.01.00:00
047159  047159  Busan                  35.10468   129.03203     97.13     74.08     69.6   97.0   74.0  1904.04.09.00:00
047162  047162  Tongyeong              34.84546   128.43559     86.65     68.06     32.7   87.0   68.0  1968.01.01.00:00
047165  047165  Mokpo                  34.81689   126.38121     49.84     66.79     38.0   50.0   67.0  1904.04.08.00:00
047168  047168  Yeosu                  34.73929   127.74064     74.25     65.42     64.6   74.0   65.0  1942.03.01.00:00
047169  047169  Heuksando              34.68719   125.45103     33.14     63.97     76.5   33.0   64.0  1997.01.01.00:00
047170  047170  Wando                  34.39587   126.70184     55.67     57.63     35.2   56.0   58.0  1971.01.31.00:00
047172  047172  Gochang                35.34890   126.59900     53.66     78.43     52.0   54.0   78.0  2010.12.01.00:00
047174  047256  Suncheon               35.02040   127.36940     67.48     71.43    165.0   67.0   71.0  2011.04.01.00:01
047175  047175  Jindo                  34.47212   126.32379     48.84     59.25    476.5   49.0   59.0  2001.11.03.00:00
047177  047177  Hongseong              36.65745   126.68766     54.99    106.92     20.0   55.0  107.0  2015.11.03.15:00
047184  047184  Jeju                   33.51411   126.52968     52.69     38.29     20.5   53.0   38.0  1923.05.01.00:00
047185  047185  Gosan                  33.29382   126.16283     45.99     33.42     74.3   46.0   33.0  1988.01.01.00:00
047188  047188  Seongsan               33.38678   126.88021     59.13     35.55     17.8   59.0   36.0  2008.09.04.10:45
047189  047189  Seogwipo               33.24613   126.56534     53.38     32.41     49.0   53.0   32.0  2010.11.09.20:57
047192  047192  Jinju                  35.16379   128.04002     79.39     74.81     30.2   79.0   75.0  2005.11.23.19:32
047201  047201  Ganghwa                37.70739   126.44634     50.65    129.68     47.0   51.0  130.0  1972.01.11.00:00
047202  047202  Yangpyeong             37.48857   127.49447     68.72    125.16     48.0   69.0  125.0  1972.01.11.00:00
047203  047203  Icheon                 37.26398   127.48420     68.63    120.28     78.0   69.0  120.0  1972.01.11.00:00
047211  047211  Inje                   38.05987   128.16713     79.95    137.80    200.2   80.0  138.0  1971.12.01.00:00
047212  047212  Hongcheon              37.68360   127.88042     75.26    129.52    140.9   75.0  130.0  1971.09.27.00:00
047216  047216  Taebaek                37.17031   128.98927     94.69    118.98    712.8   95.0  119.0  1985.08.01.00:00
047217  047217  JeongseoGun            37.38130   128.64610     88.60    123.34    307.4   89.0  123.0  2010.08.06.00:00
047221  047221  Jecheon                37.15927   128.19431     80.95    118.29    263.6   81.0  118.0  1972.01.11.00:00
047226  047226  Boeun                  36.48759   127.73412     73.31    103.51    175.0   73.0  104.0  1972.01.09.00:00
047232  047232  Cheonan                36.77962   127.12127     62.51    109.66     21.3   63.0  110.0  1972.01.08.00:00
